,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
11956,TJU2nd0114,2012-03-12 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.1,0.61 ,1.1 ,0.1 ,17.6 ,51 ,0.04 ,17.5 ,0.6 ,17.6 ,51 ,0.04 ,17.5 ,1.1 ,17.6 ,51 ,0.04 ,17.5 ,NA,NA,NA,17.5 ,17.5 ,NA,-0.92,23.14,7.3 ,4.0,9.4,4.5,5.6,NA,NA,
11957,TJU2nd0115,2012-03-12 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.78 ,1.1 ,0.1 ,17.6 ,51 ,0.04 ,17.5 ,0.6 ,17.6 ,51 ,0.04 ,17.5 ,1.1 ,17.6 ,51 ,0.04 ,17.5 ,NA,NA,NA,17.5 ,17.5 ,NA,-1.55,54.06,7.3 ,4.0,9.4,4.5,5.6,NA,NA,
11958,TJU2nd0117,2012-03-12 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.81 ,1.1 ,0.1 ,17.6 ,51 ,0.04 ,17.5 ,0.6 ,17.6 ,51 ,0.04 ,17.5 ,1.1 ,17.6 ,51 ,0.04 ,17.5 ,NA,NA,NA,17.5 ,17.5 ,NA,-0.87,21.08,7.3 ,4.0,9.4,4.5,5.6,NA,NA,
11959,TJU2nd0118,2012-03-12 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.58 ,1.1 ,0.1 ,17.6 ,51 ,0.04 ,17.5 ,0.6 ,17.6 ,51 ,0.04 ,17.5 ,1.1 ,17.6 ,51 ,0.04 ,17.5 ,NA,NA,NA,17.5 ,17.5 ,NA,-0.89,21.75,7.3 ,4.0,9.4,4.5,5.6,NA,NA,
11960,TJU2nd0119,2012-03-12 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.61 ,1.1 ,0.1 ,17.6 ,51 ,0.04 ,17.5 ,0.6 ,17.6 ,51 ,0.04 ,17.5 ,1.1 ,17.6 ,51 ,0.04 ,17.5 ,NA,NA,NA,17.5 ,17.5 ,NA,-0.84,19.81,7.3 ,4.0,9.4,4.5,5.6,NA,NA,
11961,TJU2nd0120,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,0.1,0.78 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-0.98,25.60,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11962,TJU2nd0121,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.73 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-0.98,25.60,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11963,TJU2nd0122,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,-0.1,0.41 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-0.84,20.04,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11964,TJU2nd0123,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,0.1,0.76 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.40,45.93,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11965,TJU2nd0124,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.65 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.71,62.49,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11966,TJU2nd0125,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,1.0,0.73 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.74,63.96,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11967,TJU2nd0126,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.69 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.71,62.49,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11968,TJU2nd0127,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.88 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.66,59.57,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11969,TJU2nd0128,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.65 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.74,63.96,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11970,TJU2nd0129,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.68 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.38,44.68,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11971,TJU2nd0130,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.76 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.40,45.93,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11972,TJU2nd0131,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.76 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.53,52.51,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11973,TJU2nd0132,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.72 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.60,56.70,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11974,TJU2nd0133,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.82 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-0.79,18.28,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11975,TJU2nd0134,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.64 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-0.74,16.67,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11976,TJU2nd0135,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,-0.1,0.74 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.12,31.61,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11977,TJU2nd0136,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.61 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.12,31.61,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11978,TJU2nd0137,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,-0.1,0.60 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.43,47.20,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11979,TJU2nd0138,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.55 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.88,71.30,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11980,TJU2nd0139,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.39 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.45,48.49,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11981,TJU2nd0140,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.65 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-0.42,8.80,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11982,TJU2nd0141,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.64 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.08,29.78,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11983,TJU2nd0142,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.83 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.60,56.70,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11984,TJU2nd0143,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.79 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.60,56.70,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11985,TJU2nd0144,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.71 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.58,55.28,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11986,TJU2nd0145,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.69 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.16,33.54,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11987,TJU2nd0146,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.70 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.45,48.49,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11988,TJU2nd0147,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,-0.1,0.36 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.02,27.21,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11989,TJU2nd0148,2012-03-15 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.86 ,1.1 ,0.1 ,16.9 ,66 ,0.04 ,16.8 ,0.6 ,16.9 ,66 ,0.04 ,16.8 ,1.1 ,16.9 ,66 ,0.04 ,16.8 ,NA,NA,NA,16.8 ,16.7 ,NA,-1.00,26.39,10.6 ,10.3,9.4,5.4,6.5,NA,NA,
11990,TJU2nd0149,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.46 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.16,33.42,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11991,TJU2nd0150,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.75 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.57,11.93,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11992,TJU2nd0151,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,1.0,0.68 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.09,30.32,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11993,TJU2nd0153,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.72 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.20,35.64,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11994,TJU2nd0154,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.86 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.83,68.70,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11995,TJU2nd0155,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,1.0,0.77 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.37,44.35,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11996,TJU2nd0157,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.64 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.32,41.71,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11997,TJU2nd0158,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.64 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.79,18.37,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11998,TJU2nd0160,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.65 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.16,33.42,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
11999,TJU2nd0161,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.60 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.20,35.64,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12000,TJU2nd0162,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,1.0,0.1,0.63 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.28,39.20,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12001,TJU2nd0164,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,-0.1,0.91 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.83,19.65,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12002,TJU2nd0165,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.46 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.87,21.02,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12003,TJU2nd0166,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,0.1,0.48 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.14,32.36,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12004,TJU2nd0167,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,0.1,0.61 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-0.89,21.74,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12005,TJU2nd0168,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,2.0,-0.1,0.70 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.53,52.92,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
12006,TJU2nd0169,2012-03-19 08:00:00,Tongji University,Transition Season,Shanghai City,Hot summer and cold winter zone ,Educational,Classroom,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-2.0,3.0,-0.1,0.81 ,1.1 ,0.1 ,18.2 ,64 ,0.04 ,18.0 ,0.6 ,18.2 ,64 ,0.04 ,18.0 ,1.1 ,18.2 ,64 ,0.04 ,18.0 ,NA,NA,NA,18.0 ,17.9 ,NA,-1.37,44.35,9.6 ,6.9,9.4,8.3,9.3,NA,NA,
